,,,,,,,,,,,,
"
Clave",Nombre de la herramienta,Descripción ,¿Qué evalúa?,Referencias,Grupo Etario,Población específica,Tiempo aplicativo,No. de ítems,CIE-11,LS,Observaciones,Obligatorios 
ASQ-15,	Anxiety Screening Questionnaire.,"Es un cuestionario diseñado para uso en atención primaria y tiene como objetivo detectar trastornos de ansiedad generalizada y otros trastornos de ansiedad.",Problemas físicos y Ansiedad,https://cmvinalo.webs.ull.es/docencia/Posgrado/CUESTIONARIOS-ESCALAS-EVALUACION/banco%20de%20instrumentos%20psicometricos_libro.pdf ,A partir de los 18 años,,10-30 minutos,15,6B0,Bienestar mental,,
PHQ-9,	Patient Health Questionnaire,Instrumento diseñado para dar apoyo al diagnóstico de la depresión y determinar su nivel de gravedad. También puede utilizarse para observar los cambios experimentados por el paciente a lo largo del tiempo.,Depresión,https://pubmed.ncbi.nlm.nih.gov/11485122/ ,A partir de los 18 años,,≤10 minutos,9,6A7,Bienestar mental,,
 GERDQ, Cuestionario de Enfermedad por Reflujo Gastroesofágico,,Reflujo gastrointestinal,https://www.scielo.org.mx/img/revistas/endo/v32s2//0188-9893-endo-32-supl2-426-gf1.jpg,≥15 años,Personas con sospecha de reflujo,≤5 minutos,6,MD9,Bienestar físico,,
SF-12,12-Item Short-Form Health Survey," Reducción del instrumento SF-36, evalúa la Calidad de Vida relacionada con la Salud (CVRS). ",Funcionamiento y calidad de vida,https://www.scielo.cl/pdf/rmc/v149n9/0717-6163-rmc-149-09-1292.pdf ,A partir de los 16 años,,≤10 minutos,12,,Bienestar físico y mental,,
Acoso,Acoso,,Acoso,https://www.mejoredu.gob.mx/images/publicaciones/encuesta-acoso-2024.pdf,12-15 años,Adolescentes,≤10 minutos,21,XE4P2,Bienestar social ,,
VAPE,Adicción de VAPE,,Adicción a vapeadores/cigarros electrónicos,https://digitalmedia.hhs.gov/tobacco/educator_hub/lesson_plans/risks_of_vaping_magazine_lesson_plan/signs_of_vaping_addiction?locale=es,≥15 años,Consumidores de vape,≤5 minutos,7,QE1Y,Bienestar físico y mental,,
AUDIT,Alcohol Use Disorders Identification Test,,Alcoholismo,https://www.scielo.org.mx/pdf/spm/v44n2/a05v44n2.pdf,>11 años,,≤10 minutos,10,6C40 ,Bienestar físico,,
ASMS,Escala Autoaplicada de Manía de Altman, Instrumento desarrollado para medir la presencia y gravedad de la sintomatología maníaca.,Presencia y gravedad de sintomatología maníaca ,https://biadmin.cibersam.es/Intranet/Ficheros/GetFichero.aspx?FileName=ASMS_MANxA_ALTMAN.pdf ,,,≤10 minutos,5,SD81A,Bienestar mental,,
AES-S,Apathy Evaluation Scale Self-rated,"Escala utilizada para evaluar la apatía, definida como la falta de motivación no atribuible a una disminución del nivel de conciencia, deterioro cognitivo o malestar emocional.",Apatía,https://biadmin.cibersam.es/Intranet/Ficheros/GetFichero.aspx?FileName=492_99fc3e16-54e4-4b6d-b939-4128fb900ef2.pdf ,A partir de los 18 años,,10-30 minutos,18,MB24.4,Bienestar mental,,
Escala Bristol,Bristol Stool Form Scale,,Forma y consistencia de las esces,https://www.revistagastroenterologiamexico.org/en-guias-diagnostico-tratamiento-del-estrenimiento-articulo-X0375090611243253,Apartir de los 5 años,apto para todo publico ,≤5 minutos,7,ME05.0,Bienestar físico,,
CAGE,CAGE,,Adicción al alcohol,https://whitelightbh.com/resources/alcohol/cage-questionnaire/,≥15 años,Consumidores de alcohol,≤5 minutos,4,"6C40.2, 6C40.2Z, 6C40.20, 6C40.21",Bienestar social y mental,,
EORTIC,Calidad de vida para pacientes con cáncer,,Calidad de vida,https://tabasco.gob.mx/sites/default/files/users/ssaludtabasco/72.pdf,≥18 años,Pacientes con diagnóstico de cáncer,≤15 minutos,30,,Bienestar mental,,
CVE-20,calidad de vida para pacientes con estreñimiento ,,calidad de vida ,https://static.elsevier.es/multimedia/00257753/0000013100000010/v0_201607111109/13126141/v0_201607111111/es/2v131n10a13126141pdf001.pdf?idApp=UINPBA00004N&text ,personas con estreñimiento ,poblacion en general apartir de los 18 años,10 - 15  minutos,20,"ME05.0
DD91.1
",Bienestar físico,,
CAMBRA mod de 0-5 ,Caries Management by Risk Assessment mod de 0-5  ,,Caries ,https://pmc.ncbi.nlm.nih.gov/articles/PMC11567501/pdf/1135-5727-resp-97-e202312112.pdf,0 - 5 años,,≤10 minutos,19,DA08,Bienestar físico,,
CRAFFT,CARLOS (CRAFFT),,Adicciones,https://revistas.unc.edu.ar/index.php/revaluar/article/download/15756/15527/43148,12 a 21 años o personas que  sospeche de adicciones,personas con sospechas de uso de sustancias ,≤10 minutos,9,6C4,Bienestar físico y social,,
CDI,Inventario de Depresión Infantil,Escala utilizada para evaluar sintomatología depresiva en población infantil y adolescente.,Depresión infantil,"https://www.agapap.org/druagapap/system/files/CuestionarioDepresi%C3%B3nInfantil-2.pdf

https://www.agapap.org/druagapap/system/files/Interpretaci%C3%B3nCDI.pdf 
 ",De los 7 a 17 años,,10-30 minutos,27,6A7,Bienestar mental,,
Ciber acoso,Ciber acoso,,Ciber acoso,https://www.mejoredu.gob.mx/images/publicaciones/encuesta-acoso-2024.pdf,12-15 años,Adolescentes,≤10 minutos,8,XE4P2,Bienestar social ,,
CSQ,Communication Skills Questionnaire,Instrumento que evalúa habilidades comunicativas en el área conversacional y comunicativa interpersonal.,Habilidades comunicativas,https://biadmin.cibersam.es/Intranet/Ficheros/GetFichero.aspx?FileName=287_3062eac1-0376-466b-8ee6-dfd1977d3134.pdf ,De los 18 a 59 años,,10-30 minutos,29,,Bienestar social y mental,,
CDAI,Crohn's Disease Activity Index,,Severidad de la enfermedad de crohn,Crohn's Disease Activity Index (CDAI),,Pacientes con enfermedad de Crohn,-,6,,,,
CBD,Cuestionario breve del dolor,,Dolor crónico,https://www.gamo-smeo.com/previous/archivos/2016/GAMO_V15_Supl_1.pdf,≥18 años,Pacientes con tratamientos de cáncer,-,22,MG30,Bienestar físico,,
SSBQ,Cuestionario de comportamiento sexual seguro,,Comportamientos sexuales,https://elcentro.sonhs.miami.edu/research/measures-library/ssbq/index.html,≥ 12 años,Personas con vida sexual activa,≤10 minutos,27,HA8Z,Bienestar físico y social,,
FAB,Cuestionario de creencias sobre el miedo y la evitación,, Función afectiva y conductual en pacientes,https://www.kovacs.org/descargas/CuestionarioFAB.pdf,≥ 15 años ,Pacientes con cáncer,≤10 minutos,16,"MG24.0Y",Bienestar físico,,
SOAPP-R,Cuestionario de detección y evaluación de opioides para pacientes con dolor,,Uso de opioides,https://www.gamo-smeo.com/previous/archivos/2016/GAMO_V15_Supl_1.pdf,≥18 años,Pacientes con tratamiento opiaceo ,≤10 minutos,24,"QE11.0, 6C43.2",Bienestar físico y mental,,
CAN,Cuestionario del Control del Asma en Niños (CAN) ,,Asma,https://revistaalergia.mx/ojs/index.php/ram/article/view/29/2542 ,2- 12 años ,Pedriaticos,≤10 minutos,9,CA23,Bienestar físico,,
CISNEROS,"Cuestionario Individual sobre psicoterror, negación, estigmatización y rechazo en organizaciones sociales",,Mobbing,https://www.redalyc.org/pdf/727/72716413.pdf,≥ 18 años ,Pacientes con vida laboral,≤15 minutos,44,XE4P2,Bienestar social y mental,,
IPAQ_S,Cuestionario Internacional de Actividad Física ,,Actividad física,https://www.elsevier.es/es-revista-revista-iberoamericana-fisioterapia-kinesiologia-176-articulo-el-cuestionario-internacional-actividad-fisica--13107139,18 - 65,Adultos,7 minutos,7,QE20,Bienestar físico,se puede ligar con un índice propuesto por jairo,
COS,Cuestionario Oviedo del Sueño.,Cuestionario de apoyo para el diagnóstico para los trastornos del sueño tipo insomnio e hipersomnio. ,Sueño-vigilia ,https://www.aidep.org/sites/default/files/2023-05/RIDEP68-Art4.pdf ,De los 18 a 59 años,,10-30 minutos,15,07,Bienestar físico y mental,,
,Cuestionario Roland-Morris,,Efectos del dolor lumbar,https://multimedia.elsevier.es/PublicationsMultimediaV1/item/multimedia/S0212656715003406:mmc2.pdf?idApp=UINPBA00004N,≥ 18 años ,Pacientes con lumbagia,≤15 minutos,24,"ME84.2
",Bienestar físico,,
